id,nme,shortnme
1007,pfam00306,ATP-synt_ab_C
1008,pfam00307,CH
1009,pfam00308,Bac_DnaA
1010,pfam00309,Sigma54_AID
1011,pfam00310,GATase_2
1012,pfam00311,PEPcase
1013,pfam00312,Ribosomal_S15
1014,pfam00313,CSD
1015,pfam00314,Thaumatin
1016,pfam00315,UNG
1017,pfam00316,FBPase
1018,pfam00317,Ribonuc_red_lgN
1019,pfam00318,Ribosomal_S2
1020,pfam00319,SRF-TF
1021,pfam00320,GATA
1022,pfam00321,Thionin
1023,pfam00322,Endothelin
1024,pfam00323,Defensin_1
1025,pfam00324,AA_permease
1026,pfam00325,Crp
1027,pfam00326,Peptidase_S9
1028,pfam00327,Ribosomal_L30
1029,pfam00328,His_Phos_2
1030,pfam00329,Complex1_30kDa
1031,pfam00330,Aconitase
1032,pfam00331,Glyco_hydro_10
1033,pfam00332,Glyco_hydro_17
1034,pfam00333,Ribosomal_S5
1035,pfam00334,NDK
1036,pfam00335,Tetraspanin
1037,pfam00336,DNA_pol_viral_C
1038,pfam00337,Gal-bind_lectin
1039,pfam00338,Ribosomal_S10
1040,pfam00339,Arrestin_N
1041,pfam00340,IL1
1042,pfam00341,PDGF
1043,pfam00342,PGI
1044,pfam00343,Phosphorylase
1045,pfam00344,SecY
1046,pfam00345,PapD_N
1047,pfam00346,Complex1_49kDa
